#,Group,Component_Name,PN,SN,Is_Installed,Born_on_Aircraft,1_Date_of_First_Installation,2_Hours_at_First_Install,2_Cycles_at_First_Install,3_Overhaul_History,4_Repair_History,5_Modification_Status_SBs,6_Last_Parts_Certificate,7_TSN_at_Last_Shop_Visit,8_Accrued_Since_Last_Overhaul,9_Current_Part_Total_Time,10_Remaining_to_Overhaul_or_Scrap,11_Part_Identity,n_Form1s_found,n_Work_Events_found,Evidence_Source_Files
1,A,"KIT, FIRST AID",500097,112718038,Installed,Yes,2019-02-20,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,559:25,N/A (non-LLP / on-condition),"PN: 500097 | SN: 112718038 | Desc: KIT, FIRST AID | Pos: WARDROBE | Category: Unknown",0,0,"ATA CHAPTERS.pdf, CALENDAR.pdf, PART NUMBERS.pdf"
2,A,LEVEL SENSOR PROBE,016263-01,0784,Installed,Yes,2019-02-20,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,559:25,N/A (non-LLP / on-condition),PN: 016263-01 | SN: 0784 | Desc: LEVEL SENSOR PROBE | Pos: WATER TANK BAGGAGE BAY RH | Category: Unknown,0,0,"ATA CHAPTERS.pdf, PART NUMBERS.pdf"
3,A,"PLAYER, BLU-RAY DISC",BDP3009-001-001,000754,Installed,Yes,2019-02-20,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,559:25,N/A (non-LLP / on-condition),"PN: BDP3009-001-001 | SN: 000754 | Desc: PLAYER, BLU-RAY DISC | Pos: WARDROBE | Category: Unknown",0,0,"ATA CHAPTERS.pdf, PART NUMBERS.pdf"
4,A,"VALVE, CHECK",0059-0008-3,286461,Installed,Yes,2019-02-20,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,559:25,N/A (non-LLP / on-condition),"PN: 0059-0008-3 | SN: 286461 | Desc: VALVE, CHECK | Pos: 10TH STAGE BLEED AIR | Category: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, ATA CHAPTERS.pdf, PART NUMBERS.pdf"
5,A,"VALVE, CHECK",123790-1-1,1585,Installed,Yes,2019-02-20,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,559:25,N/A (non-LLP / on-condition),"PN: 123790-1-1 | SN: 1585 | Desc: VALVE, CHECK | Pos: FLT DECK CONDITIONED AIR | Category: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, ATA CHAPTERS.pdf, PART NUMBERS.pdf"
6,A,"VALVE, CHECK",3202076-1-1,1418,Installed,Yes,2019-02-20,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,559:25,N/A (non-LLP / on-condition),"PN: 3202076-1-1 | SN: 1418 | Desc: VALVE, CHECK | Pos: CONDITIONED AIR DUCT | Category: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, ATA CHAPTERS.pdf, PART NUMBERS.pdf"
7,A,"VALVE, CHECK, PRESS BKLHD",3202062-1-1,2852,Installed,Yes,2019-02-20,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,559:25,N/A (non-LLP / on-condition),"PN: 3202062-1-1 | SN: 2852 | Desc: VALVE, CHECK, PRESS BKLHD | Pos: AFT FUSE RH | Category: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, ATA CHAPTERS.pdf, PART NUMBERS.pdf"
8,A,"VALVE, CHECK, PRESS BKLHD",3202062-1-1,2858,Installed,Yes,2019-02-20,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,559:25,N/A (non-LLP / on-condition),"PN: 3202062-1-1 | SN: 2858 | Desc: VALVE, CHECK, PRESS BKLHD | Pos: AFT FUSE RH | Category: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, ATA CHAPTERS.pdf, PART NUMBERS.pdf"
9,B,Winslow life raft,1015F9A-C4-1-150,10EUL-82792,Removed,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Compute (sum of install→removal arcs),N/A (non-LLP / on-condition),PN: 1015F9A-C4-1-150 | SN: 10EUL-82792 | Desc: Winslow life raft | Pos: Unknown | Category: Unknown,0,0,CL650-6134_bo3_bi11_247470 2 of 2_96560_19-Feb-2022.pdf
10,B,TIRE 18X4.4/12/210,031-614-0,8065S00381,Installed,No,Unknown,Unknown,Unknown,NIL,NIL,NIL,Tracking 18/18934 / NKE / N / B — easa_form_one — ,Read from techlog at cert date,N/A — never overhauled,Compute (sum of install→removal arcs),N/A (non-LLP / on-condition),PN: 031-614-0 | SN: 8065S00381 | Desc: TIRE 18X4.4/12/210 | Pos: Unknown | Category: Unknown,1,0,CL650-6134_bo2_bi7_CL65HBJTZ015MX_6134-21-13_16-Jul-2021.pdf
